District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio, Affordability ,Strike
AMADOR COUNTY UNIFIED,California,3864,0.02,0.17,22.89,1.059,0.18,0
RAVENSWOOD CITY ELEMENTARY,California,3853,0.51,0.14,21.52,0.895,0.54,0
ROMOLAND ELEMENTARY,California,3832,0.22,0.13,24.68,1.084,0.16,0
HANFORD JOINT UNION HIGH,California,3799,0.09,0.12,23.51,0.853,0.15,0
ENTERPRISE ELEMENTARY,California,3786,0.09,0.14,23.63,0.977,0.15,0
FILLMORE UNIFIED,California,3757,0.3,0.16,22.9,0.918,0.29,0
DUARTE UNIFIED,California,3733,0.27,0.15,22.39,1.022,0.26,0
RESCUE UNION ELEMENTARY,California,3720,0.05,0.13,23.37,1.049,0.17,0
ALBANY CITY UNIFIED,California,3702,0.18,0.08,21.68,1.036,0.37,0
BASSETT UNIFIED,California,3689,0.3,0.15,23.54,1.093,0.25,0
DEL NORTE COUNTY UNIFIED,California,3679,0.08,0.18,22.93,1.044,0.16,0
DIXON UNIFIED,California,3663,0.21,0.14,28.27,0.982,0.24,0
GALT JOINT UNION ELEMENTARY,California,3616,0.22,0.16,20.19,0.96,0.17,0
LAFAYETTE ELEMENTARY,California,3615,0.02,0.1,24.18,1.009,0.36,0
WASCO UNION ELEMENTARY,California,3610,0.41,0.08,22.42,0.953,0.16,0
WALNUT CREEK ELEMENTARY,California,3589,0.1,0.11,22.42,0.913,0.36,0
GOLETA UNION ELEMENTARY,California,3571,0.3,0.1,20.12,0.978,0.26,0
MCFARLAND UNIFIED,California,3570,0.42,0.08,24.14,1.219,0.15,0
RINCON VALLEY UNION ELEMENTARY,California,3552,0.12,0.12,21.5,0.963,0.32,0
RIM OF THE WORLD UNIFIED,California,3521,0.11,0.12,23.56,0.936,0.2,0
SANTA RITA UNION ELEMENTARY,California,3519,0.41,0.1,25.08,0.937,0.24,0
SAN CARLOS ELEMENTARY,California,3516,0.09,0.09,21.1,1.183,0.46,0
EL SEGUNDO UNIFIED,California,3469,0.04,0.07,24.62,0.893,0.24,0
RICHLAND UNION ELEMENTARY,California,3466,0.45,0.11,21.23,0.947,0.15,0
STANISLAUS UNION ELEMENTARY,California,3458,0.23,0.11,25.1,0.985,0.15,0
PARLIER UNIFIED,California,3435,0.52,0.1,24.62,1.069,0.17,0
BURLINGAME ELEMENTARY,California,3410,0.18,0.09,22.49,0.962,0.48,0
SOUTHERN KERN UNIFIED,California,3406,0.17,0.15,22.25,1.133,0.17,0
KONOCTI UNIFIED,California,3365,0.21,0.13,22.87,1.009,0.18,0
MENDOTA UNIFIED,California,3339,0.66,0.06,23.18,0.895,0.17,0
CORCORAN JOINT UNIFIED,California,3334,0.28,0.11,23.15,1.034,0.15,0
SALIDA UNION ELEMENTARY,California,3282,0.25,0.11,24.94,0.912,0.15,0
LOS GATOS UNION ELEMENTARY,California,3263,0.03,0.08,22.57,0.933,0.3,0
LEMOORE UNION ELEMENTARY,California,3249,0.18,0.1,22.25,1.018,0.16,0
REDDING ELEMENTARY,California,3219,0.03,0.14,22.74,1.025,0.16,0
FRUITVALE ELEMENTARY,California,3211,0.05,0.1,25.86,0.968,0.15,0
STANDARD ELEMENTARY,California,3130,0.06,0.12,22.28,1.215,0.16,0
MILL VALLEY ELEMENTARY,California,3128,0.03,0.11,20.77,0.94,0.43,0
PALO VERDE UNIFIED,California,3096,0.12,0.11,24.63,0.951,0.18,0
LAMONT ELEMENTARY,California,3075,0.62,0.08,26.61,1.042,0.15,0
SAN MARINO UNIFIED,California,3074,0.12,0.08,20.49,1.063,0.24,0
CORONADO UNIFIED,California,3064,0.03,0.12,23.57,0.918,0.3,0
SAN BENITO HIGH,California,3043,0.14,0.11,28.47,1.049,0.39,0
EMPIRE UNION ELEMENTARY,California,3025,0.27,0.15,24.69,0.879,0.16,0
LAGUNA BEACH UNIFIED,California,3025,0.04,0.12,21.76,0.963,0.21,0
